Abbreviation,Name
LAA,Angels
HOU,Astros
OAK,Athletics
TOR,Blue Jays
ATL,Braves
MIL,Brewers
STL,Cardinals
CHC,Cubs
ARI,Diamondbacks
LAD,Dodgers
SF,Giants
CLE,Indians
SEA,Mariners
MIA,Marlins
NYM,Mets
WAS,Nationals
BAL,Orioles
SD,Padres
PHI,Phillies
PIT,Pirates
TEX,Rangers
TB,Rays
BOS,Red Sox
CIN,Reds
COL,Rockies
KC,Royals
DET,Tigers
MIN,Twins
CHW,White Sox
NYY,Yankees
